Responder_ID;submitdate;lastpage;startlanguage;seed;startdate;datestamp;Introduction;QID01;Instr1;P1Know.P1Know01.;P1Know.P1Know02.;P1AttitudesA.P1AttitudesA01.;P1AttitudesA.P1AttitudesA02.;P1AttitudesA.P1AttitudesA03.;P1AttitudesA.P1AttitudesA04.;P1AttitudesA.P1AttitudesA05.;P1AttitudesA.P1AttitudesA06.;P1AttitudesA.P1NeedA01.;P1AttitudesA.P1NeedA02.;P1AttitudesB.P1AttitudesB01.;P1AttitudesB.P1AttitudesB02.;P1AttitudesB.P1AttitudesB03.;P1AttitudesB.P1AttitudesB04.;P1AttitudesB.P1AttitudesB05.;P1AttitudesB.P1AttitudesB06.;P1AttitudesB.P1NeedB01.;P1AttitudesB.P1NeedB02.;P1AttitudesC.P1AttitudesC01.;P1AttitudesC.P1AttitudesC02.;P1AttitudesC.P1AttitudesC03.;P1AttitudesC.P1AttitudesC04.;P1AttitudesC.P1AttitudesC05.;P1AttitudesC.P1AttitudesC06.;P1AttitudesC.P1NeedC01.;P1AttitudesC.P1NeedC02.;P1Use01;P1Use01b;P1Use01b.other.;P1Use02;P1Use02b;P1Use02b.other.;Instr2;P2Know.P2Know01.;P2Know.P2Know02.;P2AttitudesA.P2AttitudesA01.;P2AttitudesA.P2AttitudesA02.;P2AttitudesA.P2AttitudesA03.;P2AttitudesA.P2AttitudesA04.;P2AttitudesA.P2AttitudesA05.;P2AttitudesA.P2AttitudesA06.;P2AttitudesA.P2NeedA01.;P2AttitudesA.P2NeedA02.;P2AttitudesB.P2AttitudesB01.;P2AttitudesB.P2AttitudesB02.;P2AttitudesB.P2AttitudesB03.;P2AttitudesB.P2AttitudesB04.;P2AttitudesB.P2AttitudesB05.;P2AttitudesB.P2AttitudesB06.;P2AttitudesB.P2NeedB01.;P2AttitudesB.P2NeedB02.;P2AttitudesC.P2AttitudesC01.;P2AttitudesC.P2AttitudesC02.;P2AttitudesC.P2AttitudesC03.;P2AttitudesC.P2AttitudesC04.;P2AttitudesC.P2AttitudesC05.;P2AttitudesC.P2AttitudesC06.;P2AttitudesC.P2NeedC01.;P2AttitudesC.P2NeedC02.;P2Use01;P2Use02;Instr3;P3Know.P3Know01.;P3Know.P3Know02.;P3AttitudesA.P3AttitudesA01.;P3AttitudesA.P3AttitudesA02.;P3AttitudesA.P3AttitudesA03.;P3AttitudesA.P3AttitudesA04.;P3AttitudesA.P3AttitudesA05.;P3AttitudesA.P3AttitudesA06.;P3AttitudesA.P3NeedA01.;P3AttitudesA.P3NeedA02.;P3AttitudesB.P3AttitudesB01.;P3AttitudesB.P3AttitudesB02.;P3AttitudesB.P3AttitudesB03.;P3AttitudesB.P3AttitudesB04.;P3AttitudesB.P3AttitudesB05.;P3AttitudesB.P3AttitudesB06.;P3AttitudesB.P3NeedB01.;P3AttitudesB.P3NeedB02.;P3AttitudesC.P3AttitudesC01.;P3AttitudesC.P3AttitudesC02.;P3AttitudesC.P3AttitudesC03.;P3AttitudesC.P3AttitudesC04.;P3AttitudesC.P3AttitudesC05.;P3AttitudesC.P3AttitudesC06.;P3AttitudesC.P3NeedC01.;P3AttitudesC.P3NeedC02.;P3Use01;P3Use02;Instr4;P4Know.P4Know01.;P4Know.P4Know02.;P4AttitudesA.P4AttitudesA01.;P4AttitudesA.P4AttitudesA02.;P4AttitudesA.P4AttitudesA03.;P4AttitudesA.P4AttitudesA04.;P4AttitudesA.P4AttitudesA05.;P4AttitudesA.P4AttitudesA06.;P4AttitudesA.P4NeedA01.;P4AttitudesA.P4NeedA02.;P4AttitudesB.P4AttitudesB01.;P4AttitudesB.P4AttitudesB02.;P4AttitudesB.P4AttitudesB03.;P4AttitudesB.P4AttitudesB04.;P4AttitudesB.P4AttitudesB05.;P4AttitudesB.P4AttitudesB06.;P4AttitudesB.P4NeedB01.;P4AttitudesB.P4NeedB02.;P4AttitudesC.P4AttitudesC01.;P4AttitudesC.P4AttitudesC02.;P4AttitudesC.P4AttitudesC03.;P4AttitudesC.P4AttitudesC04.;P4AttitudesC.P4AttitudesC05.;P4AttitudesC.P4AttitudesC06.;P4AttitudesC.P4NeedC01.;P4AttitudesC.P4NeedC02.;P4Use01;P4Use02;Instr5;P5Know.P5Know01.;P5Know.P5Know02.;P5AttitudesA.P5AttitudesA01.;P5AttitudesA.P5AttitudesA02.;P5AttitudesA.P5AttitudesA03.;P5AttitudesA.P5AttitudesA04.;P5AttitudesA.P5AttitudesA05.;P5AttitudesA.P5AttitudesA06.;P5AttitudesA.P5NeedA01.;P5AttitudesA.P5NeedA02.;P5AttitudesB.P5AttitudesB01.;P5AttitudesB.P5AttitudesB02.;P5AttitudesB.P5AttitudesB03.;P5AttitudesB.P5AttitudesB04.;P5AttitudesB.P5AttitudesB05.;P5AttitudesB.P5AttitudesB06.;P5AttitudesB.P5NeedB01.;P5AttitudesB.P5NeedB02.;P5AttitudesC.P5AttitudesC01.;P5AttitudesC.P5AttitudesC02.;P5AttitudesC.P5AttitudesC03.;P5AttitudesC.P5AttitudesC04.;P5AttitudesC.P5AttitudesC05.;P5AttitudesC.P5AttitudesC06.;P5AttitudesC.P5NeedC01.;P5AttitudesC.P5NeedC02.;P5Use01;P5Use02;Age;Gender;Gender.other.;Section
Token_161;19/06/2019 8:01;11;en;1871467544;19/06/2019 7:46;19/06/2019 8:01;NA;NA;NA;3;4;6;1;6;1;6;1;5;2;6;1;6;1;6;1;5;2;5;2;5;2;5;2;4;3;1;NA;NA;1;Open Access Publisher;NA;NA;3;5;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;0;0;NA;1;4;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;2;2;2;2;2;2;2;2;0;0;NA;1;4;5;3;5;3;5;3;5;3;5;3;5;3;5;3;5;3;2;2;2;2;2;2;2;2;0;0;NA;1;3;5;2;3;3;4;1;3;3;5;2;3;3;4;1;3;3;2;3;2;2;2;1;2;2;0;0;24;Male;NA;CPT
Token_164;19/06/2019 8:20;11;en;1326326211;19/06/2019 7:46;19/06/2019 8:20;NA;NA;NA;7;3;7;1;7;1;7;1;6;2;7;1;7;1;7;1;4;4;5;1;5;1;7;1;5;1;1;Open Access Publisher;NA;1;Open Access Publisher;NA;NA;5;5;7;1;7;1;7;1;4;1;7;1;7;1;7;1;5;1;4;4;4;4;4;4;4;4;1;1;NA;1;6;7;1;7;1;7;3;4;1;7;1;7;3;7;3;3;1;4;4;4;4;4;4;4;4;0;NA;NA;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;NA;NA;4;4;5;2;5;2;5;2;4;4;5;2;4;2;4;2;3;3;4;4;4;4;4;4;4;4;0;1;NA;NA;NA;BM
Token_182;19/06/2019 7:59;11;en;305747269;19/06/2019 7:50;19/06/2019 7:59;NA;NA;NA;6;4;6;1;6;1;6;1;6;1;6;1;6;1;6;1;6;1;4;4;4;4;4;4;4;4;1;Open Access Publisher;NA;1;Open Access Publisher;NA;NA;6;4;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;4;4;4;4;4;4;4;4;1;1;NA;1;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;1;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;6;4;4;3;4;3;4;1;4;2;4;3;4;3;4;1;4;2;3;3;3;3;3;3;3;3;0;0;26;Female;NA;BM
Token_191;19/06/2019 9:51;11;en;929235072;19/06/2019 7:52;19/06/2019 9:51;NA;NA;NA;6;6;7;1;3;1;4;1;1;4;5;2;6;2;5;1;5;1;7;1;7;1;7;1;7;1;1;Open Access Publisher;NA;1;Self-Archiving;NA;NA;5;6;5;2;5;2;5;2;6;2;7;1;7;1;7;1;7;1;4;4;3;4;3;4;3;3;0;1;NA;1;4;1;6;1;1;1;1;1;1;4;3;4;3;3;3;3;3;6;2;5;2;2;2;2;2;0;0;NA;1;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;4;7;5;1;5;1;6;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;0;0;29;Male;NA;BM
Token_209;19/06/2019 8:10;11;en;1192273515;19/06/2019 7:54;19/06/2019 8:10;NA;NA;NA;6;5;6;1;6;1;6;1;7;1;7;1;6;1;6;1;7;1;3;1;3;1;3;1;3;1;0;NA;NA;1;Self-Archiving;NA;NA;7;6;7;1;6;1;6;1;7;1;7;1;6;1;6;1;7;1;3;1;4;1;3;1;2;1;0;0;NA;4;5;4;1;4;1;5;1;5;1;5;1;6;1;6;1;7;1;4;1;3;1;4;1;3;1;0;0;NA;3;4;4;1;4;1;4;1;4;1;5;1;4;1;5;1;5;1;2;1;2;1;2;1;2;1;0;0;NA;5;3;4;1;5;1;4;1;6;1;5;1;5;1;5;1;6;1;2;1;2;1;2;1;2;1;0;0;26;Male;NA;BM
Token_215;19/06/2019 8:12;11;en;1655193349;19/06/2019 7:57;19/06/2019 8:12;NA;NA;NA;3;5;7;1;7;1;6;2;7;1;5;1;5;1;5;2;7;1;3;1;3;1;3;2;7;1;0;NA;NA;NA;NA;NA;NA;5;3;7;1;7;1;6;2;7;1;5;1;5;1;5;5;7;1;3;1;3;1;3;2;7;1;0;1;NA;5;3;7;1;4;4;4;4;5;1;5;1;4;4;4;4;5;1;3;1;3;1;3;3;3;1;0;0;NA;5;3;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;4;1;4;1;4;2;7;1;0;0;NA;2;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;27;Female;NA;BM
Token_242;19/06/2019 8:23;11;en;1905578283;19/06/2019 8:02;19/06/2019 8:23;NA;NA;NA;5;6;5;1;4;1;4;1;3;1;6;1;6;1;6;1;5;1;7;1;7;1;6;1;5;1;NA;NA;NA;1;Open Access Publisher;NA;NA;4;6;6;1;5;1;5;1;5;1;7;1;6;1;6;1;5;1;5;1;4;1;4;1;3;1;NA;1;NA;1;5;4;3;3;4;4;2;3;4;4;4;2;3;3;2;3;4;4;3;4;3;3;2;3;3;0;0;NA;1;5;3;3;3;5;3;2;3;4;5;4;5;3;5;2;4;3;4;4;4;4;4;2;3;4;0;0;NA;3;5;6;3;5;2;4;3;4;3;7;2;6;2;5;2;5;1;6;3;4;1;4;1;5;1;0;0;NA;Female;NA;BM
Token_248;19/06/2019 8:11;11;en;63182574;19/06/2019 8:03;19/06/2019 8:11;NA;NA;NA;5;1;5;1;4;1;5;1;3;1;5;1;3;1;3;1;3;1;7;1;7;1;7;1;7;1;0;NA;NA;0;NA;NA;NA;1;3;3;6;2;5;4;6;2;5;2;6;3;5;2;4;2;5;6;4;3;2;4;4;4;4;0;0;NA;1;1;1;7;1;7;2;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;0;0;NA;1;1;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;1;7;0;0;NA;1;3;4;4;4;4;4;4;4;4;5;3;4;4;5;4;1;7;4;4;4;4;4;4;4;4;0;0;26;Female;NA;CPT
Token_263;19/06/2019 8:26;11;en;763171754;19/06/2019 8:06;19/06/2019 8:26;NA;NA;NA;5;5;3;5;3;5;4;4;2;5;2;5;3;5;3;4;2;5;7;1;6;1;6;2;5;2;0;NA;NA;0;NA;NA;NA;5;5;6;2;6;2;5;3;6;2;7;2;7;2;6;2;5;2;5;3;5;5;4;5;4;4;0;1;NA;5;5;4;4;5;5;4;4;5;3;5;3;5;3;4;3;4;4;5;3;4;4;5;1;5;3;0;0;NA;2;5;4;4;3;6;3;5;3;5;5;4;3;5;5;3;4;4;6;2;5;1;4;1;5;2;0;0;NA;6;4;7;1;5;1;5;1;5;1;7;1;6;1;6;1;7;1;7;1;6;1;7;1;7;1;0;0;29;Male;NA;HUM
Token_278;19/06/2019 8:25;11;en;173668804;19/06/2019 8:10;19/06/2019 8:25;NA;NA;NA;7;6;6;1;6;1;6;1;5;3;6;1;6;1;6;1;5;2;7;1;7;1;7;1;7;1;1;Open Access Publisher;NA;NA;NA;NA;NA;6;6;5;3;5;1;5;1;4;4;5;3;5;1;5;1;4;4;3;5;3;1;3;1;2;5;0;0;NA;4;4;1;6;1;1;1;1;1;6;1;6;1;1;1;1;1;6;6;1;6;1;6;1;6;1;0;0;NA;4;5;1;6;1;1;1;1;1;6;1;6;1;1;1;1;1;6;6;1;6;1;6;1;6;1;0;0;NA;5;5;7;1;6;1;6;1;5;2;7;1;6;1;6;1;5;2;7;1;7;1;7;1;7;1;0;0;25;Male;NA;CPT
Token_281;19/06/2019 8:19;11;en;752409442;19/06/2019 8:10;19/06/2019 8:19;NA;NA;NA;4;5;7;1;6;3;6;2;6;2;6;2;5;2;5;3;4;2;7;2;4;1;6;1;7;1;0;NA;NA;0;NA;NA;NA;3;4;5;2;4;1;5;4;5;1;5;3;5;2;4;1;5;1;4;3;2;2;2;2;3;2;0;0;NA;1;2;2;5;2;4;3;1;2;5;2;6;2;5;2;4;1;5;1;6;1;1;1;1;1;6;0;0;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;7;1;1;1;1;1;6;0;0;NA;3;2;6;1;4;1;5;1;7;1;7;2;5;3;5;3;7;1;7;1;1;1;5;2;7;1;0;0;NA;Male;NA;CPT
Token_287;19/06/2019 8:23;11;en;451223428;19/06/2019 8:11;19/06/2019 8:23;NA;NA;NA;5;6;5;2;5;2;5;1;6;1;6;2;6;2;6;2;6;2;6;2;6;2;6;2;6;2;0;NA;NA;0;NA;NA;NA;3;6;6;2;6;2;6;2;6;2;6;2;6;2;6;2;6;2;4;2;4;2;4;2;4;4;1;1;NA;2;5;5;2;5;2;5;2;4;2;5;2;5;2;5;2;4;2;4;2;4;2;4;2;4;4;0;0;NA;2;6;5;2;5;2;5;2;4;3;6;2;6;2;6;2;5;2;5;2;5;2;5;2;4;4;0;0;NA;2;5;5;2;5;2;5;2;4;3;5;2;5;2;5;2;5;2;4;2;4;2;4;2;4;4;0;0;29;Female;NA;BM
